ID,light_brown,dark_brown,black,blue_gray,red,white
SYNSKIN_0033328,0,1,1,1,0,1
SYNSKIN_0034131,1,1,0,0,0,0
SYNSKIN_0027853,1,0,1,0,0,0
SYNSKIN_0027827,0,1,1,1,0,0
SYNSKIN_0026123,0,1,0,0,0,0
SYNSKIN_0025509,0,1,1,1,0,1
SYNSKIN_0027021,1,1,0,1,0,0
SYNSKIN_0030192,0,1,1,0,0,0
SYNSKIN_0029726,0,1,0,0,0,0
SYNSKIN_0031385,1,1,1,1,0,0
SYNSKIN_0031091,1,1,0,0,1,0
SYNSKIN_0033092,1,0,0,1,0,1
SYNSKIN_0029274,1,1,1,1,0,0
SYNSKIN_0031074,1,1,1,1,0,1
SYNSKIN_0027907,1,0,1,0,0,0
SYNSKIN_0033655,0,1,1,1,0,0
SYNSKIN_0030509,1,1,0,1,0,0
SYNSKIN_0032555,1,0,1,0,0,0
SYNSKIN_0031401,1,0,0,0,0,1
SYNSKIN_0031341,1,1,0,0,1,0
SYNSKIN_0027279,0,0,1,1,0,0
SYNSKIN_0028617,0,0,0,1,0,1
SYNSKIN_0029437,0,1,1,0,0,0
SYNSKIN_0030808,0,0,0,1,0,0
SYNSKIN_0026224,1,0,0,1,0,0
SYNSKIN_0033549,1,1,0,0,0,0
SYNSKIN_0032079,1,1,0,0,1,0
SYNSKIN_0033101,1,0,0,1,0,1
SYNSKIN_0033006,0,1,1,1,0,0
SYNSKIN_0025193,0,1,0,1,1,1
SYNSKIN_0028415,1,1,0,1,0,1
SYNSKIN_0031810,1,1,1,0,0,0
SYNSKIN_0027420,1,1,0,1,0,0
SYNSKIN_0034235,1,1,0,0,0,1
SYNSKIN_0033780,0,1,1,1,0,0
SYNSKIN_0029563,0,0,1,0,0,0
SYNSKIN_0026157,1,1,0,0,0,0
SYNSKIN_0026466,1,1,1,1,0,1
SYNSKIN_0024452,0,1,1,0,0,0
SYNSKIN_0024539,0,1,0,0,1,0
SYNSKIN_0028573,1,0,1,0,0,0
